Region,Year,Mean,Median,Std,Count
Australia and New Zealand,2015,7.285,7.285,0.0014142135623732533,2
Australia and New Zealand,2016,7.323499999999999,7.323499999999999,0.01484924240491712,2
Australia and New Zealand,2017,7.299000024795535,7.299000024795535,0.021213351792503183,2
Central and Eastern Europe,2015,5.332931034482758,5.286,0.5704458113136782,29
Central and Eastern Europe,2016,5.370689655172414,5.488,0.5903953338622391,29
Central and Eastern Europe,2017,5.409931034877382,5.39499998092651,0.5916444768091771,29
Eastern Asia,2015,5.626166666666666,5.729,0.5540528554810155,6
Eastern Asia,2016,5.6241666666666665,5.6465,0.5268853448964647,6
Eastern Asia,2017,5.4964998960495,5.555499792099001,0.46157308215576,4
Latin America and Caribbean,2015,6.144681818181818,6.149,0.7285600531749263,22
Latin America and Caribbean,2016,6.10175,6.1259999999999994,0.7256799060790898,24
Latin America and Caribbean,2017,5.957904781614031,6.07100009918213,0.7694693058678311,21
Middle East and Northern Africa,2015,5.406899999999999,5.2620000000000005,1.101381902310385,20
Middle East and Northern Africa,2016,5.386052631578947,5.303,1.0575593218813995,19
Middle East and Northern Africa,2017,5.369684194263658,5.33599996566772,0.9852456258091509,19
North America,2015,7.273,7.273,0.2177888886054565,2
North America,2016,7.254,7.254,0.2121320343559638,2
North America,2017,7.1545000076293945,7.1545000076293945,0.228395457954473,2
Southeastern Asia,2015,5.317444444444444,5.36,0.9500201459852197,9
Southeastern Asia,2016,5.338888888888889,5.279,0.9306864999080586,9
Southeastern Asia,2017,5.444875001907348,5.34599995613098,0.8659407780864178,8
Southern Asia,2015,4.580857142857143,4.565,0.5705264903494631,7
Southern Asia,2016,4.563285714285714,4.643,0.6161903694708085,7
Southern Asia,2017,4.628428561346872,4.60799980163574,0.4997322502092077,7
Sub-Saharan Africa,2015,4.2028,4.272,0.6095570985644055,40
Sub-Saharan Africa,2016,4.1364210526315786,4.130000000000001,0.5584937576935355,38
Sub-Saharan Africa,2017,4.0847222275204125,4.100499868392945,0.5829207691605366,36
Unknown,2017,5.194333314895629,5.3115000724792445,1.0121036403203028,6
Western Europe,2015,6.689619047619048,6.937,0.8245818016540556,21
Western Europe,2016,6.685666666666667,6.907,0.7891902390002895,21
Western Europe,2017,6.703714302607945,6.89099979400635,0.7568905239870775,21
